date,cat_1,cat_2,revenue
2022-08-01,19,41,2700
2022-09-01,23,42,3047
2022-10-01,25,51,1545
2022-11-01,27,59,2000
2022-12-01,29,68,1927
2023-01-01,33,79,1603
2023-02-01,34,92,2990
2023-03-01,36,104,4617
2023-04-01,37,123,4691
2023-05-01,44,134,5419
2023-06-01,49,142,7332
2023-07-01,53,145,5309
2023-08-01,54,148,8089
2023-09-01,56,154,5682
2023-10-01,57,156,4300
2023-11-01,60,161,5802
2023-12-01,65,169,6000
2024-01-01,67,169,6000
2024-02-01,69,183,5000
2024-03-01,71,190,5153
2024-04-01,72,193,7000
2024-05-01,72,193,3800
2024-06-01,79,201,6900
